Navigation type,Title,Is enabled,URL                                                                                                                                         ,Comment
People,Bielefeld Academic,1,"https://www.base-search.net/Search/Results?lookfor=%(surname)s,+%(given)s&type=all&lem=0&lem=1&refid=dcbasde",
People,Geneanet,1,https://search.geneanet.org/result.php?lang=de&name=%(surname)s,
People,Google,1,https://www.google.de/search?hl=de&q=%(surname)s+%(given)s,
People,Surname map,1,"https://nvk.genealogy.net/map/1890:%(surname)s,1996:%(surname)s",
People,GenWiki,1,https://wiki-de.genealogy.net/Spezial:Suche?search=%(surname)s,
People,German Digital Library,1,https://www.deutsche-digitale-bibliothek.de/search/person?query=%(surname)s+%(given)s,
Places,Ortsverzeichnis GOV,1,https://gov.genealogy.net/search/name?name=%(place)s&lang=de,
