Navigation type,Title,Is enabled,URL,Comment
*,Форум. Ukrgenealogy,1,https://ukrgenealogy.com.ua/,"Український генеалогічний портал"
*,Форум. Український Генеалогічний,1,https://www.facebook.com/p/Український-Генеалогічний-Форум-100063789860511/,Сторінка форуму у Facebook
*,Форум. Genoua,1,http://forum.genoua.name/,"Генеалогічний форум Genoua"
*,Форум. Український Генеалогічний (Instagram),1,https://www.instagram.com/ukrgenealogyforum/reels/,Instagram-канал з відео та анонсами
*,БД. Реабілітовані історією,1,https://www.reabit.org.ua/,"База даних репресованих, має глибоку генеалогічну цінність"
*,Форум. Genealogy UA,1,https://genealogy-ua.com/forum/,"Форум по генеалогії, обговорення, пошук, прохання про допомогу"
*,Форум. Українське геральдичне товариство,1,http://uht.org.ua/forum/,"Геральдичний форум про герби, символіку, історію"
